"Totala utsläpp av växthusgaser efter växthusgas, sektor och år"

"växthusgas","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Lustgas (N2O) (t)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",19361.3,18940.9,18411.7,19115.3,19211.6,18803.5,18840.7,18858.4,18977.6,18244.0,17940.5,17535.5,17131.1,17001.3,17024.6,16662.9,16467.5,15922.1,16200.0,15637.1,16205.5,15217.0,15086.1,15228.6,15433.6,15555.5,15494.7,16128.8,15423.0,15348.5,15492.2
"Lustgas (N2O) (t)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",19548.8,19132.3,18617.4,19326.1,19453.0,19048.7,19099.9,19160.1,19325.4,18596.0,18285.9,17871.0,17426.3,17368.2,17442.1,17096.9,16926.4,16381.9,16656.4,16099.7,16654.5,15619.4,15473.0,15602.3,15834.0,15983.1,15958.6,16652.3,15851.6,15832.7,15975.5
"Lustgas (N2O) (t)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",23409.7,22941.5,22398.3,23121.4,23224.0,22850.2,22894.1,22911.0,23049.6,22361.1,22090.1,21699.3,21309.6,21173.0,21202.0,20840.4,20640.9,20144.7,20293.3,19637.3,20269.5,19101.7,18826.0,18974.9,19223.9,19457.5,19453.0,20188.5,19670.1,19617.4,19749.6
"Lustgas (N2O) (t)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",23597.3,23132.9,22604.0,23332.3,23465.4,23095.4,23153.3,23212.7,23397.4,22713.1,22435.6,22034.9,21604.9,21539.9,21619.5,21274.4,21099.9,20604.5,20749.7,20099.9,20718.5,19504.1,19212.8,19348.5,19624.4,19885.1,19917.0,20712.0,20098.7,20101.6,20232.9
"Lustgas (N2O) (t)","ARBETSMASKINER, TOTALT",171.6,179.8,181.0,161.1,152.9,149.1,149.9,146.8,140.4,136.3,135.0,128.1,129.6,128.5,127.3,125.1,127.0,126.0,123.8,126.0,123.8,127.1,128.8,130.1,132.2,134.6,137.6,141.8,145.8,151.2,158.6
"Lustgas (N2O) (t)","AVFALL, TOTALT",777.5,781.4,784.7,793.8,803.4,819.5,803.7,789.3,781.8,784.1,786.8,782.0,779.9,788.3,786.3,840.4,840.2,848.1,860.7,873.6,857.6,886.6,851.7,837.9,821.9,800.1,800.6,793.6,766.9,764.1,758.5
"Lustgas (N2O) (t)","EL OCH FJÄRRVÄRME, TOTALT",395.9,483.6,506.0,534.2,535.8,559.4,600.6,476.5,511.7,483.9,473.0,550.6,594.0,633.7,716.9,740.2,758.9,788.2,815.5,862.3,947.9,831.6,808.2,863.8,770.4,809.0,777.9,824.7,835.5,772.6,615.9
"Lustgas (N2O) (t)","INDUSTRI, TOTALT",3335.9,3508.5,3424.4,3360.1,3313.4,3089.9,2978.7,2960.4,3234.4,2925.2,2790.6,2361.9,2181.7,2120.3,2106.2,2116.1,2228.0,1521.2,1596.3,1694.1,1754.3,850.5,942.7,895.1,898.9,833.5,899.8,876.9,822.3,822.1,721.9
"Lustgas (N2O) (t)","INRIKES TRANSPORTER, TOTALT",586.8,581.7,631.7,675.2,674.5,730.0,717.7,749.7,683.6,707.5,495.1,450.7,422.4,402.4,386.8,383.0,372.9,363.8,373.0,376.4,401.1,412.5,449.6,472.3,498.9,538.6,587.8,614.7,652.2,648.4,617.1
"Lustgas (N2O) (t)","UTRIKES TRANSPORTER, TOTALT",187.6,191.4,205.7,210.9,241.4,245.2,259.2,301.7,347.8,352.0,345.4,335.6,295.3,366.9,417.5,434.1,459.0,459.7,456.4,462.6,448.9,402.4,386.9,373.6,400.5,427.6,463.9,523.6,428.6,484.2,483.2
"Lustgas (N2O) (t)","JORDBRUK, TOTALT",13311.0,12628.4,12081.8,12781.9,12972.5,12613.7,12702.1,12868.7,12781.4,12406.6,12499.1,12543.9,12278.5,12137.8,12092.4,11702.1,11433.4,11608.3,11745.8,11057.7,11423.0,11497.8,11307.8,11497.2,11768.6,11889.1,11775.3,12221.7,11673.4,11667.7,12098.2
"Lustgas (N2O) (t)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",291.0,287.3,347.0,346.0,309.0,399.0,443.0,457.0,465.0,434.0,394.0,382.0,410.1,439.9,471.5,440.2,423.5,370.8,396.9,350.0,404.1,317.1,309.8,258.2,286.8,296.5,255.9,392.4,297.3,297.3,297.3
"Lustgas (N2O) (t)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",491.5,490.2,455.2,463.0,450.1,442.9,445.1,409.9,379.3,366.4,366.8,336.4,334.9,350.3,337.2,315.9,283.6,295.7,287.9,297.0,293.9,293.8,287.6,274.0,255.8,254.1,259.7,263.0,229.5,225.2,224.8
"Lustgas (N2O) (t)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",4048.4,4000.6,3986.6,4006.2,4012.4,4046.7,4053.4,4052.6,4072.0,4117.1,4149.6,4163.9,4178.5,4171.7,4177.4,4177.5,4173.4,4222.6,4093.3,4000.2,4064.0,3884.7,3739.8,3746.3,3790.4,3902.0,3958.3,4059.7,4247.1,4268.9,4257.4
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",5769.7,5644.4,5486.7,5696.3,5725.1,5603.4,5614.5,5619.8,5655.3,5436.7,5346.3,5225.6,5105.1,5066.4,5073.3,4965.5,4907.3,4744.8,4827.6,4659.9,4829.3,4534.7,4495.7,4538.1,4599.2,4635.5,4617.4,4806.4,4596.1,4573.9,4616.7
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",5825.6,5701.4,5548.0,5759.2,5797.0,5676.5,5691.8,5709.7,5759.0,5541.6,5449.2,5325.6,5193.0,5175.7,5197.8,5094.9,5044.1,4881.8,4963.6,4797.7,4963.0,4654.6,4611.0,4649.5,4718.5,4763.0,4755.7,4962.4,4723.8,4718.1,4760.7
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",6976.1,6836.6,6674.7,6890.2,6920.8,6809.4,6822.4,6827.5,6868.8,6663.6,6582.9,6466.4,6350.3,6309.6,6318.2,6210.4,6151.0,6003.1,6047.4,5851.9,6040.3,5692.3,5610.1,5654.5,5728.7,5798.3,5797.0,6016.2,5861.7,5846.0,5885.4
"Lustgas (N2O) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",7032.0,6893.6,6736.0,6953.0,6992.7,6882.4,6899.7,6917.4,6972.4,6768.5,6685.8,6566.4,6438.2,6418.9,6442.6,6339.8,6287.8,6140.1,6183.4,5989.8,6174.1,5812.2,5725.4,5765.9,5848.1,5925.8,5935.3,6172.2,5989.4,5990.3,6029.4
"Lustgas (N2O) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",51.1,53.6,53.9,48.0,45.6,44.4,44.7,43.7,41.8,40.6,40.2,38.2,38.6,38.3,37.9,37.3,37.9,37.5,36.9,37.5,36.9,37.9,38.4,38.8,39.4,40.1,41.0,42.3,43.5,45.0,47.3
"Lustgas (N2O) (kt CO2-ekv.)","AVFALL, TOTALT",231.7,232.8,233.8,236.5,239.4,244.2,239.5,235.2,233.0,233.7,234.5,233.0,232.4,234.9,234.3,250.4,250.4,252.7,256.5,260.3,255.6,264.2,253.8,249.7,244.9,238.4,238.6,236.5,228.5,227.7,226.0
"Lustgas (N2O) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",118.0,144.1,150.8,159.2,159.7,166.7,179.0,142.0,152.5,144.2,141.0,164.1,177.0,188.8,213.6,220.6,226.2,234.9,243.0,257.0,282.5,247.8,240.8,257.4,229.6,241.1,231.8,245.7,249.0,230.2,183.5
"Lustgas (N2O) (kt CO2-ekv.)","INDUSTRI, TOTALT",994.1,1045.5,1020.5,1001.3,987.4,920.8,887.6,882.2,963.8,871.7,831.6,703.8,650.1,631.8,627.7,630.6,663.9,453.3,475.7,504.9,522.8,253.5,280.9,266.7,267.9,248.4,268.1,261.3,245.0,245.0,215.1
"Lustgas (N2O) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",174.9,173.3,188.2,201.2,201.0,217.5,213.9,223.4,203.7,210.8,147.5,134.3,125.9,119.9,115.3,114.1,111.1,108.4,111.1,112.2,119.5,122.9,134.0,140.8,148.7,160.5,175.2,183.2,194.3,193.2,183.9
"Lustgas (N2O) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",55.9,57.0,61.3,62.8,71.9,73.1,77.2,89.9,103.6,104.9,102.9,100.0,88.0,109.3,124.4,129.4,136.8,137.0,136.0,137.9,133.8,119.9,115.3,111.3,119.3,127.4,138.3,156.0,127.7,144.3,144.0
"Lustgas (N2O) (kt CO2-ekv.)","JORDBRUK, TOTALT",3966.7,3763.3,3600.4,3809.0,3865.8,3758.9,3785.2,3834.9,3808.8,3697.2,3724.7,3738.1,3659.0,3617.1,3603.5,3487.2,3407.1,3459.3,3500.2,3295.2,3404.0,3426.3,3369.7,3426.2,3507.0,3543.0,3509.0,3642.1,3478.7,3477.0,3605.3
"Lustgas (N2O) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",86.7,85.6,103.4,103.1,92.1,118.9,132.0,136.2,138.6,129.3,117.4,113.8,122.2,131.1,140.5,131.2,126.2,110.5,118.3,104.3,120.4,94.5,92.3,76.9,85.5,88.4,76.3,116.9,88.6,88.6,88.6
"Lustgas (N2O) (kt CO2-ekv.)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",146.5,146.1,135.6,138.0,134.1,132.0,132.6,122.1,113.0,109.2,109.3,100.2,99.8,104.4,100.5,94.1,84.5,88.1,85.8,88.5,87.6,87.5,85.7,81.7,76.2,75.7,77.4,78.4,68.4,67.1,67.0
"Lustgas (N2O) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",1206.4,1192.2,1188.0,1193.8,1195.7,1205.9,1207.9,1207.7,1213.5,1226.9,1236.6,1240.8,1245.2,1243.2,1244.9,1244.9,1243.7,1258.3,1219.8,1192.1,1211.1,1157.6,1114.5,1116.4,1129.5,1162.8,1179.6,1209.8,1265.6,1272.1,1268.7
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1103.1,1121.7,1138.5,1100.4,1043.2,991.1,938.6
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1103.1,1121.7,1138.5,1100.4,1043.2,991.1,938.6
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1103.1,1121.7,1138.5,1100.4,1043.2,991.1,938.6
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1103.1,1121.7,1138.5,1100.4,1043.2,991.1,938.6
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","AVFALL, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","INDUSTRI, TOTALT",..,0.2,0.2,0.3,0.5,0.5,0.7,0.5,0.6,0.2,0.2,0.4,0.5,0.2,0.1,..,..,..,..,..,..,..,0.3,0.2,..,..,..,0.3,0.4,1.0,0.6
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","JORDBRUK, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",6.5,10.9,12.6,29.9,72.8,135.3,226.1,371.4,482.9,638.7,769.4,851.6,934.2,1003.2,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.7,1076.5,1103.1,1121.7,1138.5,1100.1,1042.8,990.0,938.0
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Väte-fluor-kol-föreningar (HFCs) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9,49.4,65.2
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9,49.4,65.2
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9,49.4,65.2
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9,49.4,65.2
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","AVFALL, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","INDUSTRI, TOTALT",568.8,573.8,389.5,453.2,485.1,532.0,468.0,430.8,417.5,450.3,371.4,364.3,402.0,398.7,394.9,400.9,382.1,385.6,335.8,39.4,184.4,212.8,76.9,49.8,80.9,34.2,30.5,36.1,61.6,49.3,65.2
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","JORDBRUK, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..,..,..,..,..,0.4,1.7,3.0,3.3,3.9,4.6,4.5,5.5,6.2,6.2,5.5,10.1,14.6,14.4,9.2,3.4,2.3,1.8,1.4,1.1,0.9,0.7,0.5,0.3,0.1,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fluor-kol-föreningar (PFCs) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1497.0,1707.5
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1497.0,1707.5
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1497.0,1707.5
"Svavelhexafluorid (SF6) (kg)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1497.0,1707.5
"Svavelhexafluorid (SF6) (kg)","ARBETSMASKINER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","AVFALL, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","EL OCH FJÄRRVÄRME, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","INDUSTRI, TOTALT",1000.0,1033.8,1033.8,1033.8,1167.5,1204.0,1404.0,1839.1,1670.2,1668.9,2268.9,2440.8,2835.2,1555.7,1737.5,4178.1,3219.1,4735.2,2001.3,1222.4,1433.6,1098.8,1072.0,490.9,690.7,755.4,868.4,563.4,..,..,..
"Svavelhexafluorid (SF6) (kg)","INRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","UTRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","JORDBRUK, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",3461.8,3470.3,3465.2,3323.6,3498.0,4725.3,3722.2,5160.7,3207.8,3647.5,2940.7,2944.1,2410.4,2178.1,2415.5,2470.7,1721.1,1290.2,1194.0,1848.3,1349.6,1332.8,1258.3,1353.8,1321.5,1575.1,1651.9,1445.8,1446.6,1497.0,1707.5
"Svavelhexafluorid (SF6) (kg)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kg)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,33.0,34.1,38.9
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,33.0,34.1,38.9
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,33.0,34.1,38.9
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,33.0,34.1,38.9
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","AVFALL, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","INDUSTRI, TOTALT",22.8,23.6,23.6,23.6,26.6,27.5,32.0,41.9,38.1,38.0,51.7,55.7,64.6,35.5,39.6,95.3,73.4,108.0,45.6,27.9,32.7,25.1,24.4,11.2,15.7,17.2,19.8,12.8,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","JORDBRUK, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",78.9,79.1,79.0,75.8,79.8,107.7,84.9,117.7,73.1,83.2,67.0,67.1,55.0,49.7,55.1,56.3,39.2,29.4,27.2,42.1,30.8,30.4,28.7,30.9,30.1,35.9,37.7,33.0,33.0,34.1,38.9
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Svavelhexafluorid (SF6) (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
